"","...1","...2","Subdistrict","Year","Density","CV","Area_km2","YE_abund"
"77",77,77,"CSEO",2013,"#N/A",1,1661,"#N/A"
"78",78,78,"EYKT",2013,"#N/A",1,739,"#N/A"
"79",79,79,"NSEO",2013,"#N/A",1,442,"#N/A"
"80",80,80,"SSEO",2013,"986",0.22,1056,"1041216"
"81",81,81,"CSEO",2014,"#N/A",1,1661,"#N/A"
"82",82,82,"EYKT",2014,"#N/A",1,739,"#N/A"
"83",83,83,"NSEO",2014,"#N/A",1,442,"#N/A"
"84",84,84,"SSEO",2014,"#N/A",1,1056,"#N/A"
"85",85,85,"CSEO",2015,"#N/A",1,1661,"#N/A"
"86",86,86,"EYKT",2015,"1755",0.25,739,"1296945"
"87",87,87,"NSEO",2015,"#N/A",1,442,"#N/A"
"88",88,88,"SSEO",2015,"#N/A",1,1056,"#N/A"
"89",89,89,"CSEO",2016,"1101",0.14,1661,"1828761"
"90",90,90,"EYKT",2016,"#N/A",1,739,"#N/A"
"91",91,91,"NSEO",2016,"701",0.2,442,"309842"
"92",92,92,"SSEO",2016,"#N/A",1,1056,"#N/A"
"93",93,93,"CSEO",2017,"#N/A",1,1661,"#N/A"
"94",94,94,"EYKT",2017,"1072",0.21,739,"792208"
"95",95,95,"NSEO",2017,"#N/A",1,442,"#N/A"
"96",96,96,"SSEO",2017,"#N/A",1,1056,"#N/A"
"97",97,97,"CSEO",2018,"910",0.14,1661,"1511510"
"98",98,98,"EYKT",2018,"#N/A",1,739,"#N/A"
"99",99,99,"NSEO",2018,"637",0.59,442,"281554"
"100",100,100,"SSEO",2018,"1582",0.2,1056,"1670592"
"101",101,101,"CSEO",2019,"#N/A",1,1661,"#N/A"
"102",102,102,"EYKT",2019,"1397",0.27,739,"1032383"
"103",103,103,"NSEO",2019,"#N/A",1,442,"#N/A"
"104",104,104,"SSEO",2019,"#N/A",1,1056,"#N/A"
"105",105,105,"CSEO",2020,"#N/A",1,1661,"#N/A"
"106",106,106,"EYKT",2020,"#N/A",1,739,"#N/A"
"107",107,107,"NSEO",2020,"#N/A",1,442,"#N/A"
"108",108,108,"SSEO",2020,"1949",0.15,1056,"2058144"
"109",109,109,"CSEO",2021,"#N/A",1,1661,"#N/A"
"110",110,110,"EYKT",2021,"#N/A",1,739,"#N/A"
"111",111,111,"NSEO",2021,"#N/A",1,442,"#N/A"
"112",112,112,"SSEO",2021,"#N/A",1,1056,"#N/A"
"113",113,113,"CSEO",2022,"1178",0.163,1661,"1685915"
"114",114,114,"EYKT",2022,"#N/A",1,739,"#N/A"
"115",115,115,"NSEO",2022,"1033",0.267069211,442,"310870"
"116",116,116,"SSEO",2022,"#N/A",1,1056,"#N/A"
"117",117,117,"CSEO",2023,NA,1,1661,NA
"118",118,118,"EYKT",2023,"1741",0.21,739,"1286654"
"119",119,119,"NSEO",2023,NA,1,442,NA
"120",120,120,"SSEO",2023,NA,1,1056,NA
"121",121,121,"CSEO",2024,NA,1,1661,NA
"122",122,122,"EYKT",2024,NA,1,739,NA
"123",123,123,"NSEO",2024,NA,1,442,NA
"124",124,124,"SSEO",2024,NA,1,1056,NA
"125",125,125,"CSEO",2024,NA,1,1661,NA
"126",126,126,"EYKT",2024,NA,1,739,NA
"127",127,127,"NSEO",2024,NA,1,442,NA
"128",128,128,"SSEO",2024,NA,1,1056,NA
