"","X","Subdistrict","Year","Density","CV","Area_km2","YE_abund","var.Dens","var.Abund","mean.YE.kg_rand","var.YE.kg_rand","bootvar.YE.kg_rand","N.wts_rand","wt_yrs_rand","mean.YE.kg_dir","var.YE.kg_dir","bootvar.YE.kg_dir","N.wts_dir","wt_yrs_dir","mean.YE.kg_hal","var.YE.kg_hal","bootvar.YE.kg_hal","N.wts_hal","wt_yrs_hal","Biomass.kg","var.Biomass.kg","Biomass.cv","Biomass.mt"
"20",20,"SSEO",1998,NA,1,1056,NA,NA,NA,3.05680751173709,1.30608013697874,0.00302662217016053,426,"1998-1998",3.02368055555556,1.36611658449343,0.00328034116360016,432,"1998-1998",4.44604938271605,1.29050419753086,0.0167140898614664,81,"1998-2009",NA,NA,NA,NA
"21",21,"CSEO",1999,NA,1,1661,NA,NA,NA,3.17730593607306,1.29176331022386,0.00198430670373257,657,"1999-1999",3.05347083926031,1.43202867685499,0.00200400006369649,703,"1999-1999",3.20819587628866,1.52965823543515,0.00387709570634244,388,"1999-2008",NA,NA,NA,NA
"22",22,"EYKT",1999,1584,0.18,739,1170576,81293.4144,44396040765.5424,3.77634615384615,1.06401941639442,0.00456012381430987,260,"1999-1999",3.77634615384615,1.06401941639442,0.00381324098580829,260,"1999-1999",4.23607692307692,2.63936524502525,0.00959553816528955,260,"1999-2010",4420500.17538462,639573579101.03,0.180914695351303,4420.50017538462
"23",23,"NSEO",1999,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0118429107920192,148,"1988-1999",3.32074324324324,1.81991168872955,0.0131024132357293,148,"1988-1999",4.0244,1.85850973737374,0.0186130106303804,100,"1999-2008",NA,NA,NA,NA
"24",24,"SSEO",1999,2376,0.2,1056,2509056,225815.04,251814480445.44,3.0280487804878,1.53820963675692,0.00456705136604109,328,"1999-1999",3.0280487804878,1.53820963675692,0.00479951809386629,328,"1999-1999",4.44604938271605,1.29050419753086,0.0162696878306595,81,"1999-2009",7597543.96097561,2338808260897.87,0.201290875079222,7597.54396097561
"25",25,"CSEO",2000,NA,1,1661,NA,NA,NA,3.14841666666667,0.866835287114846,0.00658884918217523,120,"2000-2000",3.14841666666667,0.866835287114846,0.00675335567233901,120,"2000-2000",3.20819587628866,1.52965823543515,0.00400951088548427,388,"2000-2008",NA,NA,NA,NA
"26",26,"EYKT",2000,NA,1,739,NA,NA,NA,3.56438461538462,1.01196899821109,0.00755771046070331,130,"2000-2000",3.56438461538462,1.01196899821109,0.00713522214185191,130,"2000-2000",4.23607692307692,2.63936524502525,0.0102652981232105,260,"2000-2010",NA,NA,NA,NA
"27",27,"NSEO",2000,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0124579471672869,148,"1988-2000",3.32074324324324,1.81991168872955,0.0114138012574298,148,"1988-2000",4.0244,1.85850973737374,0.0186940451226326,100,"2000-2008",NA,NA,NA,NA
"28",28,"SSEO",2000,NA,1,1056,NA,NA,NA,3.47608640406607,1.72020120372077,0.00208485869300438,787,"2000-2000",3.47076379066478,1.67855012401281,0.00236428350610653,707,"2000-2000",4.44604938271605,1.29050419753086,0.0153295263426664,81,"2000-2009",NA,NA,NA,NA
"29",29,"CSEO",2001,NA,1,1661,NA,NA,NA,3.27750922509225,1.38384350730846,0.00252942334913957,542,"2001-2001",3.27750922509225,1.38384350730846,0.00255190324822958,542,"2001-2001",3.20819587628866,1.52965823543515,0.00392822166655908,388,"2001-2008",NA,NA,NA,NA
"30",30,"EYKT",2001,NA,1,739,NA,NA,NA,4.30197674418605,2.02073252423893,0.0057300627975156,344,"2001-2001",4.30197674418605,2.02073252423893,0.0059218668723449,344,"2001-2001",4.23607692307692,2.63936524502525,0.00981777342135035,260,"2001-2010",NA,NA,NA,NA
"31",31,"NSEO",2001,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0131035787117971,148,"1988-2001",3.32074324324324,1.81991168872955,0.0126551969223424,148,"1988-2001",4.0244,1.85850973737374,0.0164031823133133,100,"2001-2008",NA,NA,NA,NA
"32",32,"SSEO",2001,NA,1,1056,NA,NA,NA,3.26751131221719,1.24076605100782,0.00559016055729569,221,"2001-2001",3.26751131221719,1.24076605100782,0.00574746707469739,221,"2001-2001",4.44604938271605,1.29050419753086,0.0155440903338333,81,"2001-2009",NA,NA,NA,NA
"33",33,"CSEO",2002,NA,1,1661,NA,NA,NA,3.14940082644628,1.45296009573431,0.00285752867316295,484,"2002-2002",3.14940082644628,1.45296009573431,0.00297188744191053,484,"2002-2002",3.20819587628866,1.52965823543515,0.00401469688281118,388,"2002-2008",NA,NA,NA,NA
"34",34,"EYKT",2002,NA,1,739,NA,NA,NA,4.30197674418605,2.02073252423893,0.0062323003620711,344,"2001-2002",4.30197674418605,2.02073252423893,0.00632709338556969,344,"2001-2002",4.23607692307692,2.63936524502525,0.0107731125010158,260,"2002-2010",NA,NA,NA,NA
"35",35,"NSEO",2002,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0123986896628367,148,"1988-2002",3.32074324324324,1.81991168872955,0.0131254911269743,148,"1988-2002",4.0244,1.85850973737374,0.018420340885045,100,"2002-2008",NA,NA,NA,NA
"36",36,"SSEO",2002,NA,1,1056,NA,NA,NA,3.42202558635394,1.56494054635249,0.00332845524860561,469,"2002-2002",3.44141230068337,1.50219023829584,0.00350428905238955,439,"2002-2002",4.44604938271605,1.29050419753086,0.0157390249393426,81,"2002-2009",NA,NA,NA,NA
"37",37,"CSEO",2003,1853,0.1,1661,3077833,34336.09,94730559758.89,3.00391402714932,1.36040165245585,0.00333683220155107,442,"2003-2003",3.01857787810384,1.45258145715657,0.00311452408740696,443,"2003-2003",3.20819587628866,1.52965823543515,0.00425444611360683,388,"2002-2008",9245545.72192308,886727255171.418,0.101850338823504,9245.54572192308
"38",38,"EYKT",2003,3825,0.17,739,2826675,422825.0625,230913645957.562,4.30197674418605,2.02073252423893,0.00549137744878464,344,"2001-2003",4.30197674418605,2.02073252423893,0.00577380966585078,344,"2001-2003",4.23607692307692,2.63936524502525,0.0101912816336677,260,"2002-2010",12160290.1133721,4318664390606.05,0.170895564759194,12160.2901133721
"39",39,"NSEO",2003,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0129519659133156,148,"1988-2003",3.32074324324324,1.81991168872955,0.0124748805412379,148,"1988-2003",4.0244,1.85850973737374,0.0193179811774875,100,"2002-2008",NA,NA,NA,NA
"40",40,"SSEO",2003,NA,1,1056,NA,NA,NA,3.37775757575758,1.45621140428677,0.00929429566270035,165,"2003-2003",3.37775757575758,1.45621140428677,0.0094167111415511,165,"2003-2003",4.44604938271605,1.29050419753086,0.015723550626972,81,"2002-2009",NA,NA,NA,NA
"41",41,"CSEO",2004,NA,1,1661,NA,NA,NA,2.95653266331658,1.28007731079641,0.0062942292740962,199,"2004-2004",2.94153110047847,1.62405629830696,0.00817836824154114,209,"2004-2004",3.20819587628866,1.52965823543515,0.00382322020857011,388,"2002-2008",NA,NA,NA,NA
"42",42,"EYKT",2004,NA,1,739,NA,NA,NA,3.84867043847242,1.76574695497474,0.00253727123945065,707,"2004-2004",3.806492434663,1.97177514560384,0.00279225574216505,727,"2004-2004",4.23607692307692,2.63936524502525,0.0100110439172886,260,"2002-2010",NA,NA,NA,NA
"43",43,"NSEO",2004,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.012416433346769,148,"1988-2004",3.32074324324324,1.81991168872955,0.0124739913836362,148,"1988-2004",4.0244,1.85850973737374,0.0174540005762162,100,"2002-2008",NA,NA,NA,NA
"44",44,"SSEO",2004,NA,1,1056,NA,NA,NA,3.25435443037975,1.31816119385723,0.00339855114940674,395,"2004-2004",3.25435443037975,1.31816119385723,0.00356087292317153,395,"2004-2004",4.44604938271605,1.29050419753086,0.0157187464273296,81,"2002-2009",NA,NA,NA,NA
"45",45,"CSEO",2005,NA,1,1661,NA,NA,NA,2.95653266331658,1.28007731079641,0.00640435365503379,199,"2004-2005",2.94153110047847,1.62405629830696,0.00764471338649379,209,"2004-2005",3.20819587628866,1.52965823543515,0.0037227211302166,388,"2002-2008",NA,NA,NA,NA
"46",46,"EYKT",2005,NA,1,739,NA,NA,NA,4.1286170212766,2.48356661560284,0.00685517856752676,376,"2005-2005",4.1286170212766,2.48356661560284,0.00692791028805798,376,"2005-2005",4.23607692307692,2.63936524502525,0.00999401103386078,260,"2002-2010",NA,NA,NA,NA
"47",47,"NSEO",2005,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0129514512859052,148,"1988-2005",3.32074324324324,1.81991168872955,0.0125660912680348,148,"1988-2005",4.0244,1.85850973737374,0.0183052024614615,100,"2002-2008",NA,NA,NA,NA
"48",48,"SSEO",2005,2357,0.18,1056,2488992,179996.5476,200720630104.474,3.25435443037975,1.31816119385723,0.00352293516140143,395,"2004-2005",3.25435443037975,1.31816119385723,0.00328974896187712,395,"2004-2005",4.44604938271605,1.29050419753086,0.0154578743485293,81,"2002-2009",8100062.14237975,2148328612485.71,0.180951424183751,8100.06214237975
"49",49,"CSEO",2006,NA,1,1661,NA,NA,NA,2.95653266331658,1.28007731079641,0.00629109624900778,199,"2004-2006",2.94153110047847,1.62405629830696,0.00847150950566876,209,"2004-2006",3.20819587628866,1.52965823543515,0.00386446197780308,388,"2002-2008",NA,NA,NA,NA
"50",50,"EYKT",2006,NA,1,739,NA,NA,NA,4.1286170212766,2.48356661560284,0.00672159790928038,376,"2005-2006",4.1286170212766,2.48356661560284,0.00631194253693485,376,"2005-2006",4.23607692307692,2.63936524502525,0.0105031418548119,260,"2002-2010",NA,NA,NA,NA
"51",51,"NSEO",2006,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0116194533785018,148,"1988-2006",3.32074324324324,1.81991168872955,0.0115938262760752,148,"1988-2006",4.0244,1.85850973737374,0.0180345006846847,100,"2002-2008",NA,NA,NA,NA
"52",52,"SSEO",2006,NA,1,1056,NA,NA,NA,3.25435443037975,1.31816119385723,0.00310089623564343,395,"2004-2006",3.25435443037975,1.31816119385723,0.00349503800776004,395,"2004-2006",4.44604938271605,1.29050419753086,0.0148368437902771,81,"2002-2009",NA,NA,NA,NA
"53",53,"CSEO",2007,1050,0.12,1661,1744050,15876,43800629796,2.95653266331658,1.28007731079641,0.0062657620136209,199,"2004-2007",2.94153110047847,1.62405629830696,0.00735638701191519,209,"2004-2007",3.20819587628866,1.52965823543515,0.00401844975486101,388,"2002-2008",5156340.79145729,402198122968.876,0.122992437004535,5156.34079145729
"54",54,"EYKT",2007,NA,1,739,NA,NA,NA,4.1286170212766,2.48356661560284,0.00622642190236864,376,"2005-2007",4.1286170212766,2.48356661560284,0.00656249036896505,376,"2005-2007",4.23607692307692,2.63936524502525,0.0112262848794342,260,"2002-2010",NA,NA,NA,NA
"55",55,"NSEO",2007,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.011053991458204,148,"1988-2007",3.32074324324324,1.81991168872955,0.0140830038465008,148,"1988-2007",4.0244,1.85850973737374,0.017944060002042,100,"2002-2008",NA,NA,NA,NA
"56",56,"SSEO",2007,NA,1,1056,NA,NA,NA,3.25435443037975,1.31816119385723,0.00312110256547462,395,"2004-2007",3.25435443037975,1.31816119385723,0.00317012495746764,395,"2004-2007",4.44604938271605,1.29050419753086,0.0165205181480215,81,"2002-2009",NA,NA,NA,NA
"57",57,"CSEO",2008,NA,1,1661,NA,NA,NA,3.20819587628866,1.52965823543515,0.00376195228263389,388,"2008-2008",2.94153110047847,1.62405629830696,0.00795772289677099,209,"2004-2008",3.20819587628866,1.52965823543515,0.00395305533825288,388,"2008-2008",NA,NA,NA,NA
"58",58,"EYKT",2008,NA,1,739,NA,NA,NA,3.67866788321168,2.21782838675456,0.00412236773206154,548,"2008-2008",3.67866788321168,2.21782838675456,0.00376170631659285,548,"2008-2008",4.23607692307692,2.63936524502525,0.00977486356441501,260,"2002-2010",NA,NA,NA,NA
"59",59,"NSEO",2008,NA,1,442,NA,NA,NA,4.0244,1.85850973737374,0.0175026421264364,100,"2008-2008",3.32074324324324,1.81991168872955,0.013045544386493,148,"1988-2008",4.0244,1.85850973737374,0.0192038223347748,100,"2008-2008",NA,NA,NA,NA
"60",60,"SSEO",2008,NA,1,1056,NA,NA,NA,3.72977777777778,1.75960777157045,0.0101425866838165,180,"2008-2008",3.50807142857143,1.75189481500514,0.0132929491622183,140,"2008-2008",4.44604938271605,1.29050419753086,0.0156941721812652,81,"2002-2009",NA,NA,NA,NA
"61",61,"CSEO",2009,NA,1,1661,NA,NA,NA,3.57248658318426,1.56439864453293,0.00287389721452053,559,"2009-2009",2.94153110047847,1.62405629830696,0.00737445273849202,209,"2004-2009",3.57248658318426,1.56439864453293,0.00284652165543157,559,"2009-2009",NA,NA,NA,NA
"62",62,"EYKT",2009,1930,0.17,739,1426270,107649.61,58789712662.81,3.98642335766423,2.2882581166015,0.00427065377147853,548,"2009-2009",3.98642335766423,2.2882581166015,0.00424996701961665,548,"2009-2009",4.23607692307692,2.63936524502525,0.00998955491912622,260,"2002-2010",5685716.04233577,943199535159.026,0.170811309749983,5685.71604233577
"63",63,"NSEO",2009,NA,1,442,NA,NA,NA,3.34819672131148,1.79239288416502,0.00932350185093272,183,"2009-2009",3.32074324324324,1.81991168872955,0.011743783984674,148,"1988-2009",3.34819672131148,1.79239288416502,0.0100785871990537,183,"2009-2009",NA,NA,NA,NA
"64",64,"SSEO",2009,NA,1,1056,NA,NA,NA,3.53147058823529,1.73665285415942,0.0100253085344999,170,"2009-2009",3.2593023255814,1.49534247819767,0.0102876509386978,129,"2009-2009",4.44604938271605,1.29050419753086,0.0164137391844519,81,"2008-2009",NA,NA,NA,NA
"65",65,"CSEO",2010,NA,1,1661,NA,NA,NA,3.51457731958763,1.47784264122007,0.00281372807993199,485,"2010-2010",2.94153110047847,1.62405629830696,0.00793034302239329,209,"2004-2010",3.51457731958763,1.47784264122007,0.00314740635878476,485,"2010-2010",NA,NA,NA,NA
"66",66,"EYKT",2010,NA,1,739,NA,NA,NA,4.23607692307692,2.63936524502525,0.00966742549731832,260,"2010-2010",3.98642335766423,2.2882581166015,0.00407477580562074,548,"2009-2010",4.23607692307692,2.63936524502525,0.0094013992158786,260,"2010-2010",NA,NA,NA,NA
"67",67,"NSEO",2010,NA,1,442,NA,NA,NA,3.92046511627907,3.00425241398069,0.0174495698903338,172,"2010-2010",3.32074324324324,1.81991168872955,0.012433115070878,148,"1988-2010",3.92046511627907,3.00425241398069,0.0167298010526718,172,"2010-2010",NA,NA,NA,NA
"68",68,"SSEO",2010,NA,1,1056,NA,NA,NA,3.37733333333333,1.26270901669759,0.00230497415306115,540,"2010-2010",3.30761224489796,1.2198317102792,0.00247653512421209,490,"2010-2010",4.20802197802198,1.36954271062271,0.0143484266138376,91,"2009-2010",NA,NA,NA,NA
"69",69,"CSEO",2011,NA,1,1661,NA,NA,NA,3.21916370106762,1.53975634035562,0.00281903022476257,562,"2011-2011",2.94153110047847,1.62405629830696,0.00791685769238023,209,"2004-2011",3.21916370106762,1.53975634035562,0.00255263581832488,562,"2011-2011",NA,NA,NA,NA
"70",70,"EYKT",2011,NA,1,739,NA,NA,NA,4.3497920997921,2.59674579002079,0.00553196092651319,481,"2011-2011",3.98642335766423,2.2882581166015,0.00428455239883411,548,"2009-2011",4.3497920997921,2.59674579002079,0.00573548523309509,481,"2011-2011",NA,NA,NA,NA
"71",71,"NSEO",2011,NA,1,442,NA,NA,NA,3.43333333333333,1.38998958333333,0.00991277590422584,129,"2011-2011",3.32074324324324,1.81991168872955,0.0128949097522468,148,"1988-2011",3.43333333333333,1.38998958333333,0.0114063142083012,129,"2011-2011",NA,NA,NA,NA
"72",72,"SSEO",2011,NA,1,1056,NA,NA,NA,3.50931726907631,1.701476548128,0.00664914831352699,249,"2011-2011",3.50931726907631,1.701476548128,0.00664502991311015,249,"2011-2011",4.20802197802198,1.36954271062271,0.0142413137056269,91,"2009-2011",NA,NA,NA,NA
"73",73,"CSEO",2012,752,0.13,1661,1249072,9557.0176,26367056554.0096,3.40494226327945,1.28192352267418,0.0015142319700292,866,"2012-2012",3.38101724137931,1.35672590643797,0.00235326098876998,580,"2012-2012",3.45346153846154,1.13092727395412,0.00401711397235051,286,"2012-2012",4253018.04267898,308092347344.887,0.130509831935247,4253.01804267898
"74",74,"EYKT",2012,NA,1,739,NA,NA,NA,4.37151138716356,2.55021201385984,0.00275160125065536,966,"2012-2012",4.30592013888889,2.51893445621981,0.00436958491068591,576,"2012-2012",4.48393861892583,2.67518137058168,0.00696132725520963,391,"2012-2012",NA,NA,NA,NA
"75",75,"NSEO",2012,NA,1,442,NA,NA,NA,3.24063829787234,1.58986195378632,0.0168903620607479,94,"2012-2012",3.32074324324324,1.81991168872955,0.0127730442835047,148,"1988-2012",3.24063829787234,1.58986195378632,0.0159033819304139,94,"2012-2012",NA,NA,NA,NA
"76",76,"SSEO",2012,NA,1,1056,NA,NA,NA,3.67593525179856,1.55483937485391,0.00536294774734882,278,"2012-2012",3.68419871794872,1.55272282855141,0.0052706764401143,312,"2012-2012",4.20802197802198,1.36954271062271,0.0148336181048093,91,"2009-2012",NA,NA,NA,NA
"77",77,"CSEO",2013,NA,1,1661,NA,NA,NA,3.18863957597173,1.27304717251947,0.00216334402889073,566,"2013-2013",3.18863957597173,1.27304717251947,0.00232262090501269,566,"2013-2013",3.45346153846154,1.13092727395412,0.00400797783351227,286,"2012-2013",NA,NA,NA,NA
"78",78,"EYKT",2013,NA,1,739,NA,NA,NA,4.06365765765766,2.38911962988259,0.00416028111834389,555,"2013-2013",4.06365765765766,2.38911962988259,0.00417283300683656,555,"2013-2013",4.48393861892583,2.67518137058168,0.00707606165507676,391,"2012-2013",NA,NA,NA,NA
"79",79,"NSEO",2013,NA,1,442,NA,NA,NA,3.24063829787234,1.58986195378632,0.0168636772775945,94,"2012-2013",3.32074324324324,1.81991168872955,0.0127697451601346,148,"1988-2013",3.24063829787234,1.58986195378632,0.0182680223980884,94,"2012-2013",NA,NA,NA,NA
"80",80,"SSEO",2013,986,0.22,1056,1041216,47054.2864,52471928718.9504,3.53490161001789,1.65316231109059,0.00302831866047293,559,"2013-2013",3.53490161001789,1.65316231109059,0.00290791883682256,559,"2013-2013",4.20802197802198,1.36954271062271,0.0148536526020526,91,"2009-2013",3680596.11477639,659106522716.901,0.22057670324576,3680.59611477639
"81",81,"CSEO",2014,NA,1,1661,NA,NA,NA,3.40359840954274,1.46042746390185,0.00283123069506827,503,"2014-2014",3.18863957597173,1.27304717251947,0.00233483930888367,566,"2013-2014",3.40359840954274,1.46042746390185,0.00305910663210511,503,"2014-2014",NA,NA,NA,NA
"82",82,"EYKT",2014,NA,1,739,NA,NA,NA,3.68843137254902,1.29195146358543,0.0021137566295586,561,"2014-2014",3.68843137254902,1.29195146358543,0.00220200526029539,561,"2014-2014",4.48393861892583,2.67518137058168,0.00703247140050157,391,"2012-2014",NA,NA,NA,NA
"83",83,"NSEO",2014,NA,1,442,NA,NA,NA,3.70821138211382,1.25679349593496,0.0102359830936165,123,"2014-2014",3.32074324324324,1.81991168872955,0.0121432604348505,148,"1988-2014",3.70821138211382,1.25679349593496,0.0100421720014945,123,"2014-2014",NA,NA,NA,NA
"84",84,"SSEO",2014,NA,1,1056,NA,NA,NA,3.53490161001789,1.65316231109059,0.00282387793175775,559,"2013-2014",3.53490161001789,1.65316231109059,0.00314005719643979,559,"2013-2014",4.20802197802198,1.36954271062271,0.0144827169736939,91,"2009-2014",NA,NA,NA,NA
"85",85,"CSEO",2015,NA,1,1661,NA,NA,NA,3.47274725274725,1.38374904390763,0.00310819845808857,455,"2015-2015",3.18863957597173,1.27304717251947,0.00233257178903454,566,"2013-2015",3.47274725274725,1.38374904390763,0.00313208143054297,455,"2015-2015",NA,NA,NA,NA
"86",86,"EYKT",2015,1755,0.25,739,1296945,192501.5625,105129145814.062,3.96144578313253,1.89526963024512,0.0029615991424309,581,"2015-2015",3.96144578313253,1.89526963024512,0.00318227411991964,581,"2015-2015",4.48393861892583,2.67518137058168,0.00689894230281917,391,"2012-2015",5137777.30120482,1655090181395.95,0.250400709708184,5137.77730120482
"87",87,"NSEO",2015,NA,1,442,NA,NA,NA,3.94967948717949,1.93241147250392,0.00688938506543608,312,"2015-2015",3.32074324324324,1.81991168872955,0.0125536766787057,148,"1988-2015",3.94967948717949,1.93241147250392,0.00605791542528722,312,"2015-2015",NA,NA,NA,NA
"88",88,"SSEO",2015,NA,1,1056,NA,NA,NA,3.53490161001789,1.65316231109059,0.00272804068418443,559,"2013-2015",3.53490161001789,1.65316231109059,0.00311591797409623,559,"2013-2015",4.20802197802198,1.36954271062271,0.0145619093163324,91,"2009-2015",NA,NA,NA,NA
"89",89,"CSEO",2016,1101,0.14,1661,1828761,23759.1396,65549589184.3716,3.52450805008945,1.47611870916447,0.00252802291521267,559,"2016-2016",3.18863957597173,1.27304717251947,0.00223955055799691,566,"2013-2016",3.52450805008945,1.47611870916447,0.00262723789361348,559,"2016-2016",6445482.86618962,822887634574.026,0.140739113093302,6445.48286618962
"90",90,"EYKT",2016,NA,1,739,NA,NA,NA,3.92699490662139,2.11711017174272,0.00352166898159744,589,"2016-2016",3.92699490662139,2.11711017174272,0.00358053956017293,589,"2016-2016",4.48393861892583,2.67518137058168,0.0063465619724525,391,"2012-2016",NA,NA,NA,NA
