"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"74","epsilon[71]",0.001,0.045,-0.087,0,0.089,TRUE,0.499,1.001,1951
"75","epsilon[72]",0.003,0.045,-0.085,0.003,0.091,TRUE,0.531,1,3000
"76","epsilon[73]",0.004,0.045,-0.083,0.004,0.09,TRUE,0.532,1,3000
"77","epsilon[74]",0.001,0.046,-0.088,0.001,0.088,TRUE,0.515,1,2679
"78","epsilon[75]",0.001,0.045,-0.088,0.002,0.088,TRUE,0.515,1.001,1929
"79","epsilon[76]",0.001,0.045,-0.086,0,0.088,TRUE,0.498,1,3000
"80","epsilon[77]",0.003,0.045,-0.086,0.003,0.089,TRUE,0.532,1,3000
"81","epsilon[78]",0.002,0.046,-0.086,0.002,0.089,TRUE,0.522,1,3000
"82","epsilon[79]",0.002,0.046,-0.088,0.002,0.088,TRUE,0.521,1,2929
"83","epsilon[80]",0.002,0.046,-0.086,0.001,0.091,TRUE,0.514,1.001,1618
"84","epsilon[81]",-0.001,0.045,-0.089,0,0.088,TRUE,0.504,1,3000
"85","epsilon[82]",0.001,0.046,-0.087,0.001,0.09,TRUE,0.51,1,3000
"86","epsilon[83]",0.003,0.045,-0.086,0.002,0.091,TRUE,0.519,1,3000
"87","epsilon[84]",0.003,0.046,-0.088,0.002,0.09,TRUE,0.522,1.001,1492
"88","epsilon[85]",0.002,0.045,-0.087,0.002,0.089,TRUE,0.514,1.001,1744
"89","epsilon[86]",0.002,0.044,-0.086,0.002,0.088,TRUE,0.513,1.001,1238
"90","epsilon[87]",0.003,0.046,-0.088,0.003,0.089,TRUE,0.524,1,3000
"91","epsilon[88]",0.003,0.047,-0.087,0.003,0.09,TRUE,0.526,1.001,1494
"92","epsilon[89]",0.002,0.046,-0.088,0.002,0.091,TRUE,0.515,1,2673
"93","epsilon[90]",0.002,0.045,-0.087,0.002,0.088,TRUE,0.519,1,3000
"94","epsilon[91]",0.002,0.045,-0.088,0.003,0.089,TRUE,0.524,1,3000
"95","epsilon[92]",0.005,0.045,-0.083,0.006,0.09,TRUE,0.549,1.001,1201
"96","epsilon[93]",0.003,0.045,-0.086,0.002,0.09,TRUE,0.517,1,3000
"97","epsilon[94]",0.002,0.045,-0.085,0.002,0.09,TRUE,0.521,1,3000
"98","epsilon[95]",0.004,0.046,-0.087,0.005,0.091,TRUE,0.539,1,3000
"99","epsilon[96]",0.004,0.046,-0.085,0.004,0.093,TRUE,0.537,1,3000
"100","epsilon[97]",0.004,0.046,-0.085,0.004,0.089,TRUE,0.54,1,3000
"101","epsilon[98]",0.005,0.046,-0.087,0.005,0.092,TRUE,0.544,1,2441
"102","epsilon[99]",0.005,0.045,-0.086,0.004,0.09,TRUE,0.537,1.001,1676
"103","epsilon[100]",0.004,0.045,-0.085,0.004,0.088,TRUE,0.537,1,3000
"104","epsilon[101]",0.002,0.045,-0.089,0.003,0.088,TRUE,0.524,1,3000
"105","epsilon[102]",0.005,0.045,-0.085,0.006,0.09,TRUE,0.55,1,3000
"106","epsilon[103]",0.004,0.045,-0.086,0.003,0.091,TRUE,0.529,1,3000
"107","epsilon[104]",0.003,0.046,-0.085,0.004,0.09,TRUE,0.532,1,3000
"108","epsilon[105]",0.004,0.045,-0.085,0.003,0.09,TRUE,0.525,1,3000
"109","epsilon[106]",0.005,0.045,-0.086,0.006,0.091,TRUE,0.551,1.001,1530
"110","epsilon[107]",0.005,0.043,-0.083,0.006,0.088,TRUE,0.558,1,3000
"111","epsilon[108]",0.004,0.043,-0.082,0.003,0.087,TRUE,0.523,1.001,3000
"112","epsilon[109]",0.002,0.042,-0.083,0.001,0.084,TRUE,0.514,1,3000
"113","epsilon[110]",-0.003,0.042,-0.085,-0.003,0.082,TRUE,0.532,1.001,1705
"114","epsilon[111]",-0.011,0.041,-0.09,-0.011,0.076,TRUE,0.618,1,3000
"115","epsilon[112]",-0.017,0.041,-0.092,-0.017,0.067,TRUE,0.675,1.001,2180
"116","epsilon[113]",-0.018,0.041,-0.092,-0.019,0.069,TRUE,0.685,1,2986
"117","epsilon[114]",-0.017,0.041,-0.09,-0.018,0.07,TRUE,0.668,1.001,1991
"118","epsilon[115]",-0.017,0.041,-0.09,-0.019,0.074,TRUE,0.683,1,3000
"119","epsilon[116]",-0.022,0.04,-0.093,-0.023,0.063,TRUE,0.726,1,2940
"120","epsilon[117]",-0.025,0.039,-0.094,-0.026,0.059,TRUE,0.748,1,3000
"121","epsilon[118]",-0.031,0.038,-0.094,-0.033,0.048,TRUE,0.795,1,3000
"122","epsilon[119]",-0.032,0.038,-0.096,-0.033,0.05,TRUE,0.805,1.001,3000
"123","epsilon[120]",-0.029,0.039,-0.095,-0.03,0.053,TRUE,0.777,1.001,1791
"124","epsilon[121]",-0.024,0.039,-0.093,-0.025,0.062,TRUE,0.736,1,3000
"125","epsilon[122]",-0.02,0.04,-0.092,-0.021,0.067,TRUE,0.702,1.001,1928
"126","epsilon[123]",-0.019,0.042,-0.093,-0.019,0.069,TRUE,0.674,1.002,1061
"127","epsilon[124]",-0.014,0.04,-0.091,-0.013,0.07,TRUE,0.636,1,3000
"128","epsilon[125]",-0.006,0.042,-0.089,-0.005,0.078,TRUE,0.553,1,3000
"129","epsilon[126]",0.003,0.041,-0.08,0.003,0.085,TRUE,0.534,1.001,1750
"130","epsilon[127]",0.004,0.041,-0.083,0.006,0.085,TRUE,0.555,1.001,1142
"131","epsilon[128]",0.008,0.041,-0.079,0.008,0.085,TRUE,0.586,1,3000
"132","epsilon[129]",0.01,0.041,-0.075,0.011,0.088,TRUE,0.617,1.002,1027
"133","epsilon[130]",0.014,0.039,-0.066,0.015,0.09,TRUE,0.646,1,3000
"134","epsilon[131]",0.014,0.04,-0.072,0.015,0.091,TRUE,0.65,1.001,3000
"135","epsilon[132]",0.013,0.04,-0.071,0.013,0.088,TRUE,0.64,1,3000
"136","epsilon[133]",0.005,0.042,-0.079,0.005,0.087,TRUE,0.55,1,3000
"137","epsilon[134]",0,0.045,-0.087,0,0.087,TRUE,0.498,1.001,2551
"138","epsilon[135]",0,0.045,-0.086,0,0.087,TRUE,0.501,1,3000
"139","epsilon[136]",0,0.045,-0.088,0,0.089,TRUE,0.504,1.002,1019
"140","PE[1]",-0.003,0.046,-0.095,-0.004,0.084,TRUE,0.529,1,3000
"141","PE[2]",-0.005,0.045,-0.096,-0.003,0.081,TRUE,0.531,1,3000
"142","PE[3]",-0.004,0.046,-0.095,-0.003,0.081,TRUE,0.522,1,3000
"143","PE[4]",-0.005,0.045,-0.095,-0.003,0.08,TRUE,0.529,1,3000
"144","PE[5]",-0.003,0.045,-0.094,-0.001,0.082,TRUE,0.512,1,3000
"145","PE[6]",-0.002,0.046,-0.094,0,0.083,TRUE,0.497,1,3000
"146","PE[7]",-0.004,0.045,-0.095,-0.002,0.08,TRUE,0.515,1,2912
"147","PE[8]",-0.003,0.045,-0.094,-0.002,0.08,TRUE,0.515,1,2913
"148","PE[9]",-0.004,0.045,-0.095,-0.003,0.081,TRUE,0.522,1,2397
"149","PE[10]",-0.002,0.045,-0.094,0,0.082,TRUE,0.501,1.001,1188
"150","PE[11]",-0.006,0.046,-0.097,-0.004,0.08,TRUE,0.534,1.001,1200
"151","PE[12]",-0.003,0.046,-0.096,-0.003,0.083,TRUE,0.525,1.001,1875
"152","PE[13]",-0.004,0.047,-0.096,-0.002,0.083,TRUE,0.518,1,2665
"153","PE[14]",-0.003,0.046,-0.095,-0.001,0.081,TRUE,0.509,1.001,1770
"154","PE[15]",-0.004,0.045,-0.095,-0.003,0.081,TRUE,0.528,1.001,3000
"155","PE[16]",-0.003,0.046,-0.095,-0.001,0.082,TRUE,0.514,1,3000
"156","PE[17]",-0.005,0.045,-0.095,-0.003,0.081,TRUE,0.536,1,2884
"157","PE[18]",-0.005,0.047,-0.097,-0.004,0.082,TRUE,0.533,1,3000
"158","PE[19]",-0.003,0.045,-0.094,-0.002,0.081,TRUE,0.524,1,3000
"159","PE[20]",-0.002,0.045,-0.093,-0.002,0.085,TRUE,0.522,1,3000
"160","PE[21]",-0.004,0.046,-0.098,-0.002,0.082,TRUE,0.514,1,3000
"161","PE[22]",-0.004,0.046,-0.096,-0.003,0.081,TRUE,0.529,1.001,2341
"162","PE[23]",-0.004,0.046,-0.096,-0.003,0.083,TRUE,0.53,1,2733
"163","PE[24]",-0.003,0.045,-0.094,-0.003,0.083,TRUE,0.524,1.001,1593
"164","PE[25]",-0.004,0.045,-0.095,-0.003,0.081,TRUE,0.522,1,3000
"165","PE[26]",-0.004,0.046,-0.095,-0.003,0.081,TRUE,0.529,1,3000
"166","PE[27]",-0.003,0.045,-0.095,-0.002,0.08,TRUE,0.518,1,3000
"167","PE[28]",-0.003,0.046,-0.095,-0.001,0.081,TRUE,0.504,1,3000
"168","PE[29]",-0.003,0.046,-0.096,-0.001,0.081,TRUE,0.514,1,3000
"169","PE[30]",-0.002,0.045,-0.092,-0.001,0.08,TRUE,0.51,1.001,2169
"170","PE[31]",-0.002,0.045,-0.094,-0.001,0.081,TRUE,0.506,1.001,3000
"171","PE[32]",-0.003,0.045,-0.095,-0.002,0.081,TRUE,0.521,1,3000
"172","PE[33]",-0.003,0.045,-0.094,-0.001,0.081,TRUE,0.513,1.001,1158
"173","PE[34]",-0.004,0.046,-0.093,-0.001,0.082,TRUE,0.508,1,3000
"174","PE[35]",-0.004,0.046,-0.096,-0.002,0.082,TRUE,0.519,1.001,1221
"175","PE[36]",-0.004,0.046,-0.096,-0.002,0.081,TRUE,0.526,1.001,1299
"176","PE[37]",-0.003,0.046,-0.096,-0.001,0.081,TRUE,0.509,1,3000
"177","PE[38]",-0.001,0.045,-0.093,0,0.085,TRUE,0.503,1,3000
"178","PE[39]",-0.004,0.046,-0.095,-0.003,0.081,TRUE,0.524,1,3000
"179","PE[40]",-0.006,0.046,-0.097,-0.004,0.079,TRUE,0.535,1,3000
"180","PE[41]",-0.003,0.046,-0.096,-0.002,0.083,TRUE,0.522,1.001,3000
"181","PE[42]",-0.003,0.045,-0.094,-0.002,0.081,TRUE,0.519,1.001,3000
"182","PE[43]",-0.004,0.046,-0.099,-0.002,0.081,TRUE,0.521,1,3000
"183","PE[44]",-0.003,0.046,-0.097,-0.002,0.084,TRUE,0.513,1,3000
"184","PE[45]",-0.005,0.045,-0.094,-0.003,0.08,TRUE,0.52,1,3000
"185","PE[46]",-0.003,0.045,-0.092,-0.001,0.081,TRUE,0.522,1,3000
"186","PE[47]",-0.003,0.046,-0.096,-0.001,0.082,TRUE,0.514,1,3000
"187","PE[48]",-0.003,0.046,-0.095,-0.001,0.08,TRUE,0.511,1,3000
"188","PE[49]",-0.004,0.045,-0.093,-0.003,0.081,TRUE,0.525,1,3000
"189","PE[50]",-0.004,0.045,-0.096,-0.003,0.081,TRUE,0.523,1.001,2277
"190","PE[51]",-0.004,0.046,-0.095,-0.003,0.083,TRUE,0.527,1.001,1964
"191","PE[52]",-0.003,0.046,-0.096,-0.002,0.082,TRUE,0.519,1.001,2041
"192","PE[53]",-0.003,0.046,-0.097,-0.001,0.083,TRUE,0.511,1,2521
"193","PE[54]",-0.003,0.045,-0.095,-0.002,0.08,TRUE,0.517,1.001,1987
"194","PE[55]",-0.004,0.046,-0.096,-0.002,0.08,TRUE,0.521,1.001,1137
"195","PE[56]",-0.002,0.045,-0.094,0,0.082,TRUE,0.501,1,3000
"196","PE[57]",-0.002,0.046,-0.097,-0.001,0.083,TRUE,0.507,1,3000
"197","PE[58]",-0.002,0.044,-0.092,-0.001,0.081,TRUE,0.515,1,3000
"198","PE[59]",-0.003,0.045,-0.095,-0.001,0.081,TRUE,0.506,1,3000
"199","PE[60]",-0.004,0.046,-0.096,-0.002,0.081,TRUE,0.516,1,2611
"200","PE[61]",-0.002,0.045,-0.095,-0.001,0.081,TRUE,0.511,1,3000
"201","PE[62]",-0.001,0.044,-0.092,0,0.083,TRUE,0.505,1.001,1110
"202","PE[63]",-0.004,0.046,-0.096,-0.002,0.083,TRUE,0.521,1.001,3000
"203","PE[64]",-0.001,0.046,-0.095,0,0.082,TRUE,0.5,1.001,1680
"204","PE[65]",-0.003,0.045,-0.092,-0.002,0.081,TRUE,0.515,1,3000
"205","PE[66]",-0.004,0.045,-0.095,-0.002,0.08,TRUE,0.516,1.001,2021
"206","PE[67]",-0.001,0.045,-0.093,0,0.083,TRUE,0.502,1,3000
"207","PE[68]",-0.001,0.046,-0.093,0,0.083,TRUE,0.503,1,3000
"208","PE[69]",-0.002,0.046,-0.096,0,0.082,TRUE,0.496,1,3000
"209","PE[70]",-0.004,0.046,-0.094,-0.002,0.082,TRUE,0.517,1,3000
"210","PE[71]",-0.003,0.046,-0.096,-0.002,0.083,TRUE,0.517,1,2037
"211","PE[72]",-0.001,0.045,-0.092,0.001,0.084,TRUE,0.492,1,3000
"212","PE[73]",0,0.045,-0.091,0.001,0.082,TRUE,0.493,1,3000
"213","PE[74]",-0.003,0.046,-0.095,-0.001,0.081,TRUE,0.51,1,2520
"214","PE[75]",-0.003,0.045,-0.095,-0.001,0.079,TRUE,0.506,1.001,1808
"215","PE[76]",-0.003,0.046,-0.094,-0.003,0.082,TRUE,0.526,1,3000
"216","PE[77]",-0.001,0.045,-0.093,0,0.082,TRUE,0.496,1,3000
"217","PE[78]",-0.002,0.046,-0.094,0,0.082,TRUE,0.499,1,3000
"218","PE[79]",-0.002,0.046,-0.096,-0.001,0.081,TRUE,0.508,1,3000
"219","PE[80]",-0.002,0.046,-0.092,-0.001,0.084,TRUE,0.514,1.001,1647
"220","PE[81]",-0.005,0.046,-0.096,-0.003,0.081,TRUE,0.531,1.001,3000
"221","PE[82]",-0.003,0.046,-0.094,-0.002,0.084,TRUE,0.515,1,3000
"222","PE[83]",-0.002,0.045,-0.094,-0.001,0.083,TRUE,0.509,1,3000
"223","PE[84]",-0.001,0.046,-0.097,0,0.082,TRUE,0.503,1.001,1504
"224","PE[85]",-0.003,0.045,-0.095,-0.001,0.083,TRUE,0.508,1.001,2054
"225","PE[86]",-0.002,0.045,-0.093,-0.001,0.082,TRUE,0.51,1.001,1212
"226","PE[87]",-0.001,0.046,-0.096,0,0.083,TRUE,0.497,1,3000
"227","PE[88]",-0.001,0.047,-0.094,0,0.084,TRUE,0.502,1.001,1597
"228","PE[89]",-0.002,0.046,-0.095,-0.001,0.083,TRUE,0.511,1,3000
"229","PE[90]",-0.002,0.045,-0.094,-0.001,0.083,TRUE,0.506,1,3000
"230","PE[91]",-0.002,0.046,-0.094,0,0.081,TRUE,0.499,1,3000
"231","PE[92]",0.001,0.045,-0.092,0.004,0.083,TRUE,0.527,1.002,1077
"232","PE[93]",-0.001,0.045,-0.094,-0.001,0.083,TRUE,0.507,1,3000
"233","PE[94]",-0.002,0.045,-0.092,-0.001,0.083,TRUE,0.505,1,3000
"234","PE[95]",0,0.046,-0.095,0.002,0.083,TRUE,0.485,1.001,3000
"235","PE[96]",0,0.046,-0.093,0.002,0.084,TRUE,0.484,1,3000
"236","PE[97]",0,0.046,-0.092,0.001,0.084,TRUE,0.486,1.001,3000
"237","PE[98]",0.001,0.046,-0.094,0.002,0.085,TRUE,0.519,1,2935
"238","PE[99]",0.001,0.045,-0.093,0.002,0.082,TRUE,0.516,1.001,1530
"239","PE[100]",-0.001,0.045,-0.093,0.001,0.083,TRUE,0.489,1,3000
"240","PE[101]",-0.002,0.046,-0.096,0,0.081,TRUE,0.501,1,3000
"241","PE[102]",0.001,0.045,-0.093,0.003,0.083,TRUE,0.526,1,3000
"242","PE[103]",0,0.045,-0.095,0,0.082,TRUE,0.495,1,3000
"243","PE[104]",-0.001,0.046,-0.094,0.001,0.083,TRUE,0.493,1,3000
"244","PE[105]",-0.001,0.045,-0.091,0,0.082,TRUE,0.503,1,3000
"245","PE[106]",0.001,0.045,-0.093,0.003,0.083,TRUE,0.527,1.001,1357
"246","PE[107]",0.001,0.044,-0.091,0.003,0.083,TRUE,0.533,1,3000
"247","PE[108]",-0.001,0.044,-0.09,-0.001,0.082,TRUE,0.506,1.001,2846
"248","PE[109]",-0.002,0.042,-0.089,-0.002,0.078,TRUE,0.522,1,3000
"249","PE[110]",-0.007,0.042,-0.092,-0.007,0.076,TRUE,0.561,1.001,1527
"250","PE[111]",-0.016,0.042,-0.095,-0.014,0.07,TRUE,0.644,1,3000
"251","PE[112]",-0.021,0.042,-0.099,-0.021,0.061,TRUE,0.699,1.001,2483
"252","PE[113]",-0.023,0.041,-0.1,-0.022,0.062,TRUE,0.706,1,2545
"253","PE[114]",-0.021,0.041,-0.098,-0.021,0.064,TRUE,0.695,1.001,1880
"254","PE[115]",-0.021,0.041,-0.097,-0.022,0.065,TRUE,0.708,1,3000
"255","PE[116]",-0.026,0.04,-0.099,-0.026,0.057,TRUE,0.746,1.001,2485
"256","PE[117]",-0.029,0.04,-0.101,-0.029,0.053,TRUE,0.772,1,3000
"257","PE[118]",-0.035,0.038,-0.101,-0.035,0.043,TRUE,0.815,1,3000
"258","PE[119]",-0.036,0.039,-0.102,-0.036,0.043,TRUE,0.823,1.001,3000
"259","PE[120]",-0.033,0.039,-0.102,-0.033,0.048,TRUE,0.795,1.001,1589
"260","PE[121]",-0.028,0.04,-0.1,-0.027,0.052,TRUE,0.758,1,3000
"261","PE[122]",-0.024,0.041,-0.099,-0.024,0.06,TRUE,0.729,1.001,1736
"262","PE[123]",-0.023,0.042,-0.101,-0.021,0.062,TRUE,0.697,1.001,1226
"263","PE[124]",-0.018,0.041,-0.098,-0.016,0.064,TRUE,0.661,1,3000
"264","PE[125]",-0.01,0.043,-0.097,-0.008,0.073,TRUE,0.577,1,3000
"265","PE[126]",-0.001,0.042,-0.087,0.001,0.079,TRUE,0.493,1.001,1601
"266","PE[127]",0,0.042,-0.092,0.002,0.077,TRUE,0.529,1.001,1188
"267","PE[128]",0.004,0.041,-0.088,0.006,0.079,TRUE,0.556,1,3000
"268","PE[129]",0.006,0.041,-0.084,0.008,0.082,TRUE,0.584,1.002,1030
"269","PE[130]",0.01,0.04,-0.073,0.012,0.084,TRUE,0.621,1,3000
"270","PE[131]",0.01,0.04,-0.08,0.012,0.083,TRUE,0.622,1,3000
"271","PE[132]",0.009,0.041,-0.079,0.011,0.082,TRUE,0.612,1,3000
"272","PE[133]",0.001,0.043,-0.087,0.002,0.08,TRUE,0.521,1,3000
"273","PE[134]",-0.004,0.045,-0.094,-0.003,0.081,TRUE,0.527,1.001,2426
"274","PE[135]",-0.004,0.045,-0.095,-0.003,0.081,TRUE,0.52,1,3000
"275","PE[136]",-0.004,0.046,-0.095,-0.002,0.081,TRUE,0.521,1.002,1126
"276","B[1]",45411.796,20993.494,24682.996,39635.795,111681.688,FALSE,1,1.018,1881
"277","B[2]",45230.826,20714.955,24148.493,39553.625,106050.738,FALSE,1,1.021,1619
"278","B[3]",44976.916,20384.303,24031.002,39625.502,105166.925,FALSE,1,1.018,1838
"279","B[4]",44797.536,20120.897,23521.136,39380.533,104739.265,FALSE,1,1.015,2073
"280","B[5]",44596.217,19969.296,23549.43,39320.68,104277.792,FALSE,1,1.014,2073
"281","B[6]",44476.444,19784.393,23283.317,39291.575,102570.045,FALSE,1,1.012,2475
"282","B[7]",44415.666,19695.499,23036.145,39474.268,100796.555,FALSE,1,1.012,2630
"283","B[8]",44266.31,19611.874,22902.361,39388.347,100452.742,FALSE,1,1.01,2965
"284","B[9]",44124.644,19455.471,22694.66,39484.49,101170.824,FALSE,1,1.009,2608
"285","B[10]",43994.252,19404.862,22323.702,39176.862,101175.201,FALSE,1,1.011,2794
"286","B[11]",43890.823,19271.02,22547.364,39266.467,101994.298,FALSE,1,1.01,3000
"287","B[12]",43631.338,19106.688,22389.4,39193.516,99488.613,FALSE,1,1.009,3000
"288","B[13]",43455.24,18740.203,22320.305,39158.604,95684.493,FALSE,1,1.008,3000
"289","B[14]",43292.102,18566.876,21947.688,39101.504,95760.562,FALSE,1,1.009,3000
"290","B[15]",43159.816,18362.122,21705.564,39034.135,93949.071,FALSE,1,1.008,3000
"291","B[16]",42954.494,18186.078,21789.423,38961.779,93814.558,FALSE,1,1.008,3000
"292","B[17]",42762.431,17920.003,21605.973,39038.372,91273.083,FALSE,1,1.008,3000
"293","B[18]",42529.049,17804.124,21444.17,38746.955,91218.828,FALSE,1,1.008,3000
"294","B[19]",42308.763,17626.699,21550.988,38550.599,89657.028,FALSE,1,1.009,3000
"295","B[20]",42178.551,17647.126,21449.372,38445.655,89429.457,FALSE,1,1.008,3000
"296","B[21]",41993.202,17470.506,21588.894,38286.931,88572.322,FALSE,1,1.007,3000
"297","B[22]",41741.441,17286.923,21121.124,38127.511,87264.664,FALSE,1,1.007,3000
"298","B[23]",41464.551,17070.064,21108.328,38029.053,86794.951,FALSE,1,1.006,3000
"299","B[24]",41177.233,16683.761,20737.935,37665.911,84639.961,FALSE,1,1.007,3000
"300","B[25]",40968.353,16577.598,20553.028,37508.967,83855.919,FALSE,1,1.007,3000
"301","B[26]",40724.661,16446.715,20513.932,37326.161,82936.602,FALSE,1,1.008,3000
