"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"75","epsilon[72]",0.002,0.045,-0.087,0.002,0.088,TRUE,0.519,1,3000
"76","epsilon[73]",0.001,0.046,-0.088,0.001,0.086,TRUE,0.507,1,3000
"77","epsilon[74]",0.001,0.046,-0.088,0,0.089,TRUE,0.496,1.001,1882
"78","epsilon[75]",0.003,0.046,-0.089,0.004,0.089,TRUE,0.531,1.001,1258
"79","epsilon[76]",0.001,0.046,-0.086,0,0.09,TRUE,0.506,1.001,1649
"80","epsilon[77]",0.003,0.046,-0.087,0.002,0.09,TRUE,0.52,1,3000
"81","epsilon[78]",0.002,0.046,-0.091,0.003,0.089,TRUE,0.524,1,3000
"82","epsilon[79]",0.001,0.046,-0.087,0.001,0.088,TRUE,0.513,1,2562
"83","epsilon[80]",0.002,0.045,-0.086,0.002,0.09,TRUE,0.518,1.001,1221
"84","epsilon[81]",0.002,0.045,-0.085,0.001,0.089,TRUE,0.507,1,3000
"85","epsilon[82]",0.001,0.046,-0.089,0.001,0.09,TRUE,0.512,1,3000
"86","epsilon[83]",0.003,0.046,-0.086,0.003,0.09,TRUE,0.524,1,3000
"87","epsilon[84]",0.003,0.046,-0.085,0.003,0.091,TRUE,0.522,1.001,2028
"88","epsilon[85]",0.001,0.045,-0.086,0.001,0.087,TRUE,0.509,1.001,1280
"89","epsilon[86]",0.003,0.046,-0.087,0.002,0.089,TRUE,0.52,1,3000
"90","epsilon[87]",0.002,0.046,-0.087,0.002,0.089,TRUE,0.516,1.001,1242
"91","epsilon[88]",0.001,0.046,-0.089,0.001,0.089,TRUE,0.504,1,3000
"92","epsilon[89]",0.002,0.046,-0.087,0.002,0.09,TRUE,0.514,1,3000
"93","epsilon[90]",0.001,0.046,-0.09,0.002,0.089,TRUE,0.512,1,3000
"94","epsilon[91]",0.004,0.046,-0.086,0.004,0.09,TRUE,0.536,1,3000
"95","epsilon[92]",0.003,0.046,-0.089,0.002,0.089,TRUE,0.517,1,3000
"96","epsilon[93]",0.002,0.045,-0.088,0.002,0.089,TRUE,0.515,1.001,2830
"97","epsilon[94]",0.003,0.046,-0.087,0.003,0.09,TRUE,0.525,1.001,1180
"98","epsilon[95]",0.003,0.046,-0.088,0.003,0.089,TRUE,0.527,1,3000
"99","epsilon[96]",0.003,0.046,-0.089,0.004,0.09,TRUE,0.534,1.001,1142
"100","epsilon[97]",0.004,0.046,-0.084,0.003,0.09,TRUE,0.527,1,3000
"101","epsilon[98]",0.004,0.046,-0.088,0.003,0.09,TRUE,0.531,1,3000
"102","epsilon[99]",0.003,0.046,-0.086,0.003,0.09,TRUE,0.524,1,3000
"103","epsilon[100]",0.005,0.046,-0.084,0.004,0.091,TRUE,0.536,1.001,2514
"104","epsilon[101]",0.003,0.046,-0.086,0.003,0.09,TRUE,0.528,1,2699
"105","epsilon[102]",0.004,0.047,-0.087,0.003,0.091,TRUE,0.529,1.001,2507
"106","epsilon[103]",0.005,0.046,-0.084,0.005,0.091,TRUE,0.547,1.001,1190
"107","epsilon[104]",0.004,0.046,-0.087,0.004,0.089,TRUE,0.54,1.001,1479
"108","epsilon[105]",0.003,0.045,-0.086,0.003,0.09,TRUE,0.525,1,3000
"109","epsilon[106]",0.003,0.046,-0.087,0.003,0.09,TRUE,0.525,1,2951
"110","epsilon[107]",0.004,0.045,-0.087,0.005,0.088,TRUE,0.549,1.002,1009
"111","epsilon[108]",0.002,0.044,-0.084,0.002,0.089,TRUE,0.518,1.001,1406
"112","epsilon[109]",0.001,0.043,-0.083,0.001,0.086,TRUE,0.508,1,3000
"113","epsilon[110]",-0.004,0.043,-0.087,-0.005,0.082,TRUE,0.548,1,3000
"114","epsilon[111]",-0.012,0.042,-0.089,-0.013,0.074,TRUE,0.63,1,3000
"115","epsilon[112]",-0.017,0.042,-0.092,-0.016,0.072,TRUE,0.667,1.001,1586
"116","epsilon[113]",-0.018,0.041,-0.091,-0.019,0.07,TRUE,0.675,1,3000
"117","epsilon[114]",-0.019,0.04,-0.092,-0.02,0.068,TRUE,0.694,1,3000
"118","epsilon[115]",-0.018,0.041,-0.092,-0.019,0.07,TRUE,0.677,1,3000
"119","epsilon[116]",-0.021,0.041,-0.093,-0.022,0.064,TRUE,0.701,1.003,698
"120","epsilon[117]",-0.026,0.04,-0.093,-0.027,0.058,TRUE,0.753,1,3000
"121","epsilon[118]",-0.032,0.038,-0.095,-0.033,0.052,TRUE,0.804,1.002,1225
"122","epsilon[119]",-0.032,0.038,-0.095,-0.034,0.052,TRUE,0.802,1.001,1821
"123","epsilon[120]",-0.029,0.039,-0.094,-0.031,0.056,TRUE,0.776,1,3000
"124","epsilon[121]",-0.023,0.04,-0.093,-0.024,0.062,TRUE,0.729,1,3000
"125","epsilon[122]",-0.021,0.04,-0.094,-0.022,0.066,TRUE,0.7,1,3000
"126","epsilon[123]",-0.019,0.041,-0.093,-0.019,0.065,TRUE,0.676,1,3000
"127","epsilon[124]",-0.014,0.042,-0.09,-0.014,0.072,TRUE,0.64,1,3000
"128","epsilon[125]",-0.005,0.042,-0.087,-0.004,0.081,TRUE,0.538,1,3000
"129","epsilon[126]",0.004,0.041,-0.08,0.004,0.085,TRUE,0.541,1.001,2524
"130","epsilon[127]",0.006,0.042,-0.079,0.006,0.086,TRUE,0.559,1,3000
"131","epsilon[128]",0.006,0.041,-0.083,0.008,0.083,TRUE,0.582,1.001,1201
"132","epsilon[129]",0.01,0.04,-0.073,0.011,0.088,TRUE,0.606,1.002,912
"133","epsilon[130]",0.015,0.04,-0.067,0.015,0.088,TRUE,0.655,1,3000
"134","epsilon[131]",0.016,0.04,-0.07,0.018,0.089,TRUE,0.674,1.001,2259
"135","epsilon[132]",0.012,0.041,-0.073,0.011,0.09,TRUE,0.624,1,3000
"136","epsilon[133]",0.006,0.044,-0.082,0.007,0.088,TRUE,0.559,1,3000
"137","epsilon[134]",0.001,0.045,-0.089,0.002,0.089,TRUE,0.513,1,3000
"138","epsilon[135]",0,0.046,-0.088,0.001,0.089,TRUE,0.511,1,3000
"139","epsilon[136]",0.001,0.046,-0.088,0.001,0.091,TRUE,0.517,1,3000
"140","PE[1]",-0.003,0.046,-0.096,-0.002,0.084,TRUE,0.515,1,3000
"141","PE[2]",-0.003,0.046,-0.094,-0.002,0.083,TRUE,0.519,1,3000
"142","PE[3]",-0.004,0.046,-0.095,-0.002,0.081,TRUE,0.515,1,3000
"143","PE[4]",-0.005,0.045,-0.094,-0.004,0.08,TRUE,0.535,1,3000
"144","PE[5]",-0.003,0.047,-0.096,-0.002,0.085,TRUE,0.52,1,3000
"145","PE[6]",-0.004,0.046,-0.095,-0.001,0.081,TRUE,0.512,1,3000
"146","PE[7]",-0.002,0.046,-0.095,-0.001,0.082,TRUE,0.51,1,3000
"147","PE[8]",-0.003,0.045,-0.092,-0.002,0.081,TRUE,0.518,1,3000
"148","PE[9]",-0.003,0.046,-0.097,-0.002,0.082,TRUE,0.517,1.001,1353
"149","PE[10]",-0.004,0.046,-0.098,-0.002,0.08,TRUE,0.516,1.001,1176
"150","PE[11]",-0.003,0.047,-0.097,-0.002,0.083,TRUE,0.516,1,3000
"151","PE[12]",-0.003,0.046,-0.096,-0.003,0.083,TRUE,0.525,1,3000
"152","PE[13]",-0.004,0.046,-0.096,-0.002,0.081,TRUE,0.52,1,3000
"153","PE[14]",-0.003,0.046,-0.094,-0.002,0.085,TRUE,0.518,1,3000
"154","PE[15]",-0.003,0.046,-0.095,-0.002,0.081,TRUE,0.516,1.001,1322
"155","PE[16]",-0.005,0.046,-0.097,-0.004,0.082,TRUE,0.535,1,3000
"156","PE[17]",-0.004,0.046,-0.095,-0.002,0.081,TRUE,0.518,1.004,540
"157","PE[18]",-0.004,0.046,-0.094,-0.003,0.083,TRUE,0.531,1,3000
"158","PE[19]",-0.003,0.046,-0.097,-0.002,0.082,TRUE,0.518,1.001,1680
"159","PE[20]",-0.004,0.046,-0.094,-0.002,0.082,TRUE,0.52,1,3000
"160","PE[21]",-0.004,0.046,-0.097,-0.002,0.082,TRUE,0.52,1,3000
"161","PE[22]",-0.001,0.046,-0.094,0,0.082,TRUE,0.499,1.002,954
"162","PE[23]",-0.005,0.047,-0.097,-0.004,0.083,TRUE,0.535,1,3000
"163","PE[24]",-0.003,0.046,-0.094,-0.002,0.083,TRUE,0.518,1,3000
"164","PE[25]",-0.002,0.047,-0.094,0,0.083,TRUE,0.504,1.001,1543
"165","PE[26]",-0.004,0.046,-0.096,-0.003,0.083,TRUE,0.527,1.001,1593
"166","PE[27]",-0.006,0.046,-0.096,-0.004,0.081,TRUE,0.538,1,3000
"167","PE[28]",-0.004,0.047,-0.096,-0.002,0.083,TRUE,0.516,1,3000
"168","PE[29]",-0.003,0.046,-0.092,-0.001,0.08,TRUE,0.513,1,3000
"169","PE[30]",-0.002,0.046,-0.095,-0.001,0.083,TRUE,0.51,1.002,817
"170","PE[31]",-0.003,0.046,-0.096,-0.001,0.081,TRUE,0.51,1,3000
"171","PE[32]",-0.004,0.045,-0.095,-0.003,0.081,TRUE,0.523,1,3000
"172","PE[33]",-0.004,0.046,-0.094,-0.003,0.082,TRUE,0.525,1.001,1688
"173","PE[34]",-0.004,0.046,-0.095,-0.003,0.082,TRUE,0.527,1.002,1048
"174","PE[35]",-0.003,0.046,-0.094,-0.002,0.082,TRUE,0.516,1,2533
"175","PE[36]",-0.003,0.047,-0.097,-0.001,0.084,TRUE,0.512,1.001,2302
"176","PE[37]",-0.003,0.046,-0.094,-0.002,0.083,TRUE,0.514,1,3000
"177","PE[38]",-0.002,0.047,-0.096,0,0.083,TRUE,0.5,1.002,1009
"178","PE[39]",-0.004,0.046,-0.097,-0.003,0.082,TRUE,0.523,1,3000
"179","PE[40]",-0.003,0.046,-0.095,-0.002,0.081,TRUE,0.515,1.001,3000
"180","PE[41]",-0.002,0.047,-0.095,-0.001,0.082,TRUE,0.506,1,3000
"181","PE[42]",-0.004,0.046,-0.094,-0.002,0.082,TRUE,0.518,1,3000
"182","PE[43]",-0.002,0.046,-0.094,-0.001,0.083,TRUE,0.516,1,3000
"183","PE[44]",-0.002,0.046,-0.094,0,0.083,TRUE,0.5,1,3000
"184","PE[45]",-0.004,0.046,-0.094,-0.003,0.084,TRUE,0.536,1,2669
"185","PE[46]",-0.004,0.046,-0.096,-0.002,0.081,TRUE,0.525,1,3000
"186","PE[47]",-0.002,0.047,-0.096,0,0.083,TRUE,0.503,1.002,804
"187","PE[48]",-0.003,0.045,-0.094,-0.001,0.082,TRUE,0.51,1.001,1743
"188","PE[49]",-0.003,0.047,-0.095,-0.002,0.082,TRUE,0.513,1,3000
"189","PE[50]",-0.003,0.046,-0.094,-0.002,0.083,TRUE,0.516,1,2687
"190","PE[51]",-0.003,0.046,-0.095,-0.001,0.082,TRUE,0.51,1,3000
"191","PE[52]",-0.004,0.046,-0.096,-0.002,0.082,TRUE,0.524,1,2750
"192","PE[53]",-0.003,0.046,-0.094,-0.001,0.082,TRUE,0.511,1,3000
"193","PE[54]",-0.004,0.047,-0.097,-0.003,0.082,TRUE,0.521,1,2944
"194","PE[55]",-0.003,0.046,-0.097,0,0.081,TRUE,0.504,1,3000
"195","PE[56]",-0.003,0.047,-0.095,0,0.083,TRUE,0.502,1,3000
"196","PE[57]",-0.003,0.045,-0.093,-0.002,0.082,TRUE,0.52,1.001,1296
"197","PE[58]",-0.004,0.047,-0.097,-0.001,0.083,TRUE,0.514,1,3000
"198","PE[59]",-0.002,0.046,-0.095,-0.001,0.082,TRUE,0.51,1,3000
"199","PE[60]",-0.002,0.047,-0.095,0.001,0.083,TRUE,0.491,1,3000
"200","PE[61]",-0.003,0.046,-0.095,-0.002,0.081,TRUE,0.514,1,3000
"201","PE[62]",-0.004,0.046,-0.096,-0.003,0.083,TRUE,0.525,1.002,1020
"202","PE[63]",-0.003,0.046,-0.094,-0.001,0.081,TRUE,0.509,1.003,636
"203","PE[64]",-0.002,0.046,-0.098,-0.001,0.086,TRUE,0.505,1,3000
"204","PE[65]",-0.002,0.046,-0.094,0,0.081,TRUE,0.501,1,3000
"205","PE[66]",-0.001,0.046,-0.094,-0.001,0.084,TRUE,0.506,1.001,2019
"206","PE[67]",-0.003,0.046,-0.096,-0.002,0.082,TRUE,0.515,1,2475
"207","PE[68]",-0.002,0.046,-0.092,-0.001,0.082,TRUE,0.509,1.001,2641
"208","PE[69]",-0.001,0.046,-0.092,-0.001,0.082,TRUE,0.506,1.001,1722
"209","PE[70]",-0.003,0.046,-0.096,-0.001,0.083,TRUE,0.512,1,3000
"210","PE[71]",-0.003,0.045,-0.095,-0.002,0.082,TRUE,0.524,1,3000
"211","PE[72]",-0.002,0.045,-0.093,-0.001,0.082,TRUE,0.509,1,3000
"212","PE[73]",-0.003,0.046,-0.096,-0.002,0.081,TRUE,0.516,1,3000
"213","PE[74]",-0.003,0.046,-0.095,-0.003,0.082,TRUE,0.53,1.001,1543
"214","PE[75]",-0.001,0.047,-0.096,0,0.082,TRUE,0.493,1.001,1466
"215","PE[76]",-0.003,0.046,-0.094,-0.003,0.083,TRUE,0.524,1.001,1898
"216","PE[77]",-0.002,0.046,-0.093,0,0.083,TRUE,0.503,1,3000
"217","PE[78]",-0.002,0.046,-0.097,0,0.083,TRUE,0.501,1,3000
"218","PE[79]",-0.003,0.046,-0.096,-0.002,0.083,TRUE,0.518,1,3000
"219","PE[80]",-0.003,0.046,-0.095,-0.001,0.083,TRUE,0.511,1.002,1035
"220","PE[81]",-0.002,0.045,-0.092,-0.002,0.083,TRUE,0.516,1,3000
"221","PE[82]",-0.003,0.046,-0.097,-0.001,0.084,TRUE,0.515,1,3000
"222","PE[83]",-0.001,0.046,-0.093,0,0.083,TRUE,0.499,1,3000
"223","PE[84]",-0.001,0.046,-0.091,0,0.083,TRUE,0.498,1.001,1877
"224","PE[85]",-0.003,0.045,-0.093,-0.001,0.082,TRUE,0.515,1.002,1075
"225","PE[86]",-0.001,0.047,-0.096,0,0.083,TRUE,0.503,1,3000
"226","PE[87]",-0.002,0.046,-0.094,-0.001,0.082,TRUE,0.504,1.001,1112
"227","PE[88]",-0.004,0.046,-0.097,-0.002,0.082,TRUE,0.521,1,3000
"228","PE[89]",-0.002,0.046,-0.094,-0.001,0.082,TRUE,0.511,1,3000
"229","PE[90]",-0.003,0.047,-0.098,-0.002,0.083,TRUE,0.512,1,3000
"230","PE[91]",0,0.046,-0.094,0.002,0.083,TRUE,0.489,1,2780
"231","PE[92]",-0.001,0.046,-0.095,-0.001,0.082,TRUE,0.508,1,3000
"232","PE[93]",-0.002,0.046,-0.094,-0.001,0.082,TRUE,0.509,1.001,2276
"233","PE[94]",-0.001,0.046,-0.095,0,0.082,TRUE,0.501,1.002,1002
"234","PE[95]",-0.001,0.046,-0.095,0,0.084,TRUE,0.499,1,3000
"235","PE[96]",-0.001,0.046,-0.095,0.001,0.082,TRUE,0.49,1.001,1251
"236","PE[97]",-0.001,0.046,-0.093,0,0.083,TRUE,0.497,1,3000
"237","PE[98]",-0.001,0.046,-0.096,0.001,0.083,TRUE,0.492,1,3000
"238","PE[99]",-0.001,0.046,-0.093,0,0.084,TRUE,0.497,1,3000
"239","PE[100]",0,0.046,-0.092,0.001,0.083,TRUE,0.509,1.001,2028
"240","PE[101]",-0.001,0.046,-0.094,0,0.084,TRUE,0.5,1,2684
"241","PE[102]",-0.001,0.047,-0.095,0.001,0.084,TRUE,0.493,1.001,2261
"242","PE[103]",0.001,0.046,-0.093,0.002,0.086,TRUE,0.523,1.001,1456
"243","PE[104]",0,0.046,-0.093,0.001,0.082,TRUE,0.515,1.001,1220
"244","PE[105]",-0.002,0.046,-0.093,0,0.083,TRUE,0.502,1,3000
"245","PE[106]",-0.002,0.046,-0.095,0,0.082,TRUE,0.502,1,2325
"246","PE[107]",0,0.045,-0.094,0.002,0.08,TRUE,0.52,1.002,852
"247","PE[108]",-0.002,0.044,-0.09,0,0.082,TRUE,0.503,1.001,1735
"248","PE[109]",-0.003,0.043,-0.089,-0.002,0.08,TRUE,0.52,1,3000
"249","PE[110]",-0.009,0.043,-0.095,-0.008,0.075,TRUE,0.58,1,3000
"250","PE[111]",-0.016,0.042,-0.097,-0.016,0.066,TRUE,0.653,1,2884
"251","PE[112]",-0.021,0.042,-0.099,-0.02,0.066,TRUE,0.69,1.001,1359
"252","PE[113]",-0.022,0.042,-0.098,-0.022,0.065,TRUE,0.705,1,3000
"253","PE[114]",-0.023,0.041,-0.1,-0.023,0.063,TRUE,0.72,1,2646
"254","PE[115]",-0.022,0.041,-0.099,-0.022,0.061,TRUE,0.71,1,3000
"255","PE[116]",-0.025,0.041,-0.099,-0.025,0.057,TRUE,0.725,1.003,733
"256","PE[117]",-0.03,0.04,-0.101,-0.03,0.052,TRUE,0.772,1,3000
"257","PE[118]",-0.036,0.039,-0.102,-0.036,0.046,TRUE,0.823,1.002,1344
"258","PE[119]",-0.036,0.039,-0.104,-0.038,0.047,TRUE,0.823,1.001,2363
"259","PE[120]",-0.033,0.039,-0.101,-0.033,0.05,TRUE,0.799,1,3000
"260","PE[121]",-0.028,0.041,-0.101,-0.027,0.057,TRUE,0.755,1,3000
"261","PE[122]",-0.025,0.041,-0.1,-0.025,0.06,TRUE,0.725,1,3000
"262","PE[123]",-0.023,0.042,-0.102,-0.022,0.058,TRUE,0.7,1,3000
"263","PE[124]",-0.018,0.042,-0.099,-0.017,0.066,TRUE,0.666,1.001,2694
"264","PE[125]",-0.009,0.042,-0.094,-0.007,0.073,TRUE,0.571,1,3000
"265","PE[126]",-0.001,0.041,-0.088,0.001,0.08,TRUE,0.492,1.001,3000
"266","PE[127]",0.002,0.042,-0.088,0.003,0.08,TRUE,0.53,1,3000
"267","PE[128]",0.002,0.042,-0.09,0.005,0.078,TRUE,0.548,1.002,1201
"268","PE[129]",0.006,0.041,-0.08,0.007,0.081,TRUE,0.575,1.002,946
"269","PE[130]",0.011,0.041,-0.074,0.012,0.082,TRUE,0.629,1,3000
"270","PE[131]",0.012,0.041,-0.077,0.015,0.083,TRUE,0.649,1,2965
"271","PE[132]",0.008,0.041,-0.081,0.008,0.085,TRUE,0.593,1,3000
"272","PE[133]",0.002,0.044,-0.09,0.004,0.082,TRUE,0.533,1,3000
"273","PE[134]",-0.003,0.045,-0.095,-0.001,0.083,TRUE,0.511,1,3000
"274","PE[135]",-0.004,0.046,-0.096,-0.002,0.081,TRUE,0.516,1,3000
"275","PE[136]",-0.003,0.047,-0.095,-0.002,0.084,TRUE,0.515,1,3000
"276","B[1]",50083.947,22762.788,25626.772,43547.931,117641.901,FALSE,1,1.005,620
"277","B[2]",49895.35,22526.39,25308.525,43627.053,116065.901,FALSE,1,1.004,628
"278","B[3]",49685.967,22265.555,25207.193,43490.104,113558.155,FALSE,1,1.003,685
"279","B[4]",49492.318,22117.114,24826.171,43427.854,111062.061,FALSE,1,1.003,665
"280","B[5]",49290.211,22071.619,24359.79,43464.982,111031.378,FALSE,1,1.004,663
"281","B[6]",49104.762,21847.714,24085.266,43319.577,110181.159,FALSE,1,1.003,708
"282","B[7]",48882.061,21506.332,24043.454,43137.319,108729.176,FALSE,1,1.003,722
"283","B[8]",48754.072,21347.681,24050.373,43212.076,106149.882,FALSE,1,1.003,698
"284","B[9]",48552.563,21010.384,24045.758,43301.647,106062.871,FALSE,1,1.003,638
"285","B[10]",48396.88,20837.617,24120.728,43162.101,104610.801,FALSE,1,1.003,747
"286","B[11]",48219.484,20718.507,23699.16,43029.559,104116.157,FALSE,1,1.002,898
"287","B[12]",48025.993,20478.41,23656.449,42897.585,103506.584,FALSE,1,1.003,762
"288","B[13]",47872.504,20398.208,23695.614,42904.351,101873.257,FALSE,1,1.004,740
"289","B[14]",47670.413,20279.077,23348.651,42686.351,101481.588,FALSE,1,1.004,689
"290","B[15]",47515.648,20141.647,23220.572,42687.048,100840.754,FALSE,1,1.004,682
"291","B[16]",47314.601,20048.133,23204.766,42533.862,100642.729,FALSE,1,1.005,576
"292","B[17]",47045.928,19889.944,23095.3,42430.625,100206.167,FALSE,1,1.004,643
"293","B[18]",46770.182,19535.236,22867.932,42374.267,99538.138,FALSE,1,1.005,517
"294","B[19]",46533.321,19299.566,22651.289,42219.03,98139.601,FALSE,1,1.005,558
"295","B[20]",46293.033,19174.366,22457.774,41952.358,96878.477,FALSE,1,1.004,624
"296","B[21]",46023.019,19164.154,22268.191,41693.513,98552.961,FALSE,1,1.004,602
"297","B[22]",45703.18,18897.207,22000.953,41507.842,97414.381,FALSE,1,1.005,614
"298","B[23]",45512.463,18744.305,21798.183,41457.919,96392.433,FALSE,1,1.004,668
"299","B[24]",45129.746,18518.024,21710.007,41201.499,94823.141,FALSE,1,1.005,598
"300","B[25]",44865.27,18398.936,21045.376,41000.813,93599.891,FALSE,1,1.005,636
"301","B[26]",44595.197,18212.154,20961.778,40788.487,92390.085,FALSE,1,1.004,704
